City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Atuona,PF,2022-03-28 04:46:18,-9.8,-139.0333,79.43,77,89,16.58
124,Kuching,MY,2022-03-28 04:46:18,1.55,110.3333,89.82,62,75,5.01
125,Lokhvytsya,UA,2022-03-28 04:46:19,50.3678,33.2602,30.76,45,94,9.4
126,Pangnirtung,CA,2022-03-28 04:46:19,66.1451,-65.7125,13.98,61,79,5.95
127,Riyadh,SA,2022-03-28 04:45:52,24.6877,46.7219,57.34,19,1,10.13
128,Lantawan,PH,2022-03-28 04:46:20,10.6167,123.9833,76.69,69,61,8.3
129,Kapaa,US,2022-03-28 04:46:21,22.0752,-159.319,76.98,75,0,6.91
130,Kununurra,AU,2022-03-28 04:46:21,-15.7667,128.7333,96.78,41,92,8.05
131,Batagay-Alyta,RU,2022-03-28 04:46:22,67.8006,130.4114,12.79,68,79,3.15
132,Quatre Cocos,MU,2022-03-28 04:46:22,-20.2078,57.7625,83.08,63,9,6.6
133,Albany,US,2022-03-28 04:45:07,42.6001,-73.9662,23.41,61,100,1.99
134,Worcester,US,2022-03-28 04:46:06,42.3334,-71.8328,28.51,57,40,19.57
135,Bambous Virieux,MU,2022-03-28 04:46:23,-20.3428,57.7575,83.21,69,40,8.05
136,Mao,ES,2022-03-28 04:46:24,39.8885,4.2658,50.56,100,1,8.05
137,Shingu,JP,2022-03-28 04:46:24,33.7333,135.9833,61.59,56,98,6.13
138,Chapais,CA,2022-03-28 04:47:25,49.7834,-74.8492,-4.22,93,100,9.75
139,Hasaki,JP,2022-03-28 04:47:25,35.7333,140.8333,63.28,50,98,15.68
140,Progreso,MX,2022-03-28 04:47:26,21.2833,-89.6667,73.11,62,0,14.47
141,Tambun,ID,2022-03-28 04:47:26,-6.2641,107.0712,89.49,62,40,3.44
142,Chitapur,IN,2022-03-28 04:47:26,17.1167,77.0833,95.88,22,26,2.62
143,Beni,CD,2022-03-28 04:47:27,0.5,29.4667,63.59,87,66,3.53
144,Bowen,AU,2022-03-28 04:47:27,-20.0167,148.2333,82.8,67,0,10.92
145,Sayla,IN,2022-03-28 04:47:28,22.55,71.4667,93.65,15,5,14.12
146,Agirish,RU,2022-03-28 04:47:28,61.9247,63.0231,25.75,92,100,12.95
147,Verkhnyaya Inta,RU,2022-03-28 04:47:29,65.9811,60.3094,25.97,75,100,16.42
148,Veraval,IN,2022-03-28 04:47:29,20.9,70.3667,90.46,33,4,10.18
149,Lucapa,AO,2022-03-28 04:47:30,-8.4192,20.7447,64.8,98,92,3.47
150,Yeniseysk,RU,2022-03-28 04:47:30,58.4497,92.1703,24.3,83,100,3.29
151,Bubaque,GW,2022-03-28 04:47:31,11.2833,-15.8333,76.01,63,68,11.88
152,Zyryanka,RU,2022-03-28 04:47:32,65.75,150.85,14.77,80,60,3.69
153,Esil,KZ,2022-03-28 04:47:32,51.9556,66.4042,22.73,95,88,14.0
154,Lodja,CD,2022-03-28 04:47:33,-3.4833,23.4333,69.55,100,100,2.66
155,Norman Wells,CA,2022-03-28 04:47:33,65.282,-126.8329,6.84,78,100,2.3
