City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Cap Malheureux,MU,-19.9842,57.6142,84.47,69,2,5.99,clear sky
254,Marrakesh,MA,31.6315,-8.0083,62.67,45,54,4.61,broken clouds
255,Parabel,RU,58.6978,81.4825,26.98,77,48,8.61,scattered clouds
256,Grindavik,IS,63.8424,-22.4338,41.47,81,75,27.63,broken clouds
257,Puerto Leguizamo,CO,-0.1934,-74.7819,69.06,100,100,1.59,overcast clouds
258,Cairns,AU,-16.9167,145.7667,86.11,70,40,5.75,scattered clouds
259,Anadyr,RU,64.75,177.4833,-7.1,83,0,8.95,clear sky
260,Gavle,SE,60.6745,17.1417,46.51,63,100,7.0,overcast clouds
261,Falun,SE,60.6036,15.626,45.95,64,100,7.56,overcast clouds
262,Tessalit,ML,20.1986,1.0114,77.63,8,79,12.64,broken clouds
263,Isangel,VU,-19.55,169.2667,81.01,76,89,8.95,overcast clouds
264,Argentan,FR,48.75,-0.0167,46.24,77,59,6.22,broken clouds
265,Olga,RU,43.7444,135.2892,45.27,40,2,12.64,clear sky
266,Shimoda,JP,34.6667,138.95,59.11,73,96,8.61,overcast clouds
267,Krasnyy Oktyabr,RU,56.1167,38.8833,21.58,80,100,7.94,overcast clouds
268,San Luis,AR,-33.295,-66.3356,66.06,42,74,12.8,broken clouds
269,Fairbanks,US,64.8378,-147.7164,32.34,68,0,5.75,clear sky
270,Rudnichnyy,RU,59.617,52.4703,17.22,79,100,9.64,overcast clouds
271,Massaguet,TD,12.4755,15.4365,71.49,7,87,14.65,overcast clouds
272,Luangwa,ZM,-15.6167,30.4167,75.4,85,100,8.5,overcast clouds
273,Dhamnod,IN,22.2167,75.4667,102.42,9,22,13.31,few clouds
274,Majene,ID,-3.5403,118.9707,87.15,60,59,7.27,broken clouds
275,Barcelos,PT,41.5388,-8.6151,59.14,73,100,6.11,overcast clouds
276,Kamskoye Ustye,RU,55.2016,49.268,23.0,80,100,14.38,overcast clouds
277,Uvalde,US,29.3669,-99.767,67.19,32,0,8.05,clear sky
278,Wenling,CN,28.3669,121.36,52.5,85,100,8.52,overcast clouds
279,Ambunti,PG,-4.2365,142.8448,85.86,70,95,3.49,overcast clouds
280,Musoma,TZ,-1.5,33.8,71.8,75,89,2.46,light rain
281,Muisne,EC,0.6,-80.0333,76.91,86,100,3.36,light rain
282,Saint-Francois,FR,46.4154,3.9054,33.24,93,19,1.14,few clouds
283,Valparaiso,CL,-33.0393,-71.6273,59.47,72,72,11.25,broken clouds
284,Masyaf,SY,35.0653,36.3406,49.57,49,0,2.91,clear sky
285,Tiksi,RU,71.6872,128.8694,3.52,84,100,3.98,overcast clouds
286,Badami,IN,15.915,75.6768,95.41,23,20,5.79,few clouds
287,Luebo,CD,-5.35,21.4167,71.65,98,96,1.52,moderate rain
288,Sambava,MG,-14.2667,50.1667,82.38,70,41,4.76,scattered clouds
289,Marigot,MF,18.0667,-63.0833,77.04,83,40,4.61,scattered clouds
290,Lima,PE,-12.0432,-77.0282,68.25,78,0,6.91,clear sky
291,Tanabe,JP,33.7333,135.3667,59.94,38,98,5.99,overcast clouds
292,Chipiona,ES,36.7366,-6.437,60.31,72,20,27.63,few clouds
293,Tevriz,RU,57.509,72.4042,25.21,86,94,9.89,overcast clouds
294,Enterprise,US,36.0252,-115.2419,72.46,14,40,13.8,scattered clouds
295,Tazovskiy,RU,67.4667,78.7,11.01,93,98,13.06,overcast clouds
296,Zhaotong,CN,27.3167,103.7167,64.81,41,16,8.34,few clouds
297,Camopi,GF,3.1655,-52.3158,70.9,100,98,1.99,overcast clouds
298,Port Elizabeth,ZA,-33.918,25.5701,71.31,87,0,5.75,clear sky
299,Half Moon Bay,US,37.4636,-122.4286,56.05,90,100,10.36,light rain
300,Asau,RO,46.4333,26.4,29.32,48,9,4.23,clear sky
301,Ilulissat,GL,69.2167,-51.1,32.02,43,57,27.63,mist
302,Whyalla,AU,-33.0333,137.5833,82.29,34,0,10.36,clear sky
303,Lufilufi,WS,-13.8745,-171.5986,82.18,74,99,8.5,light rain
304,Borzya,RU,50.3833,116.5167,32.81,22,98,21.16,overcast clouds
305,Arrifes,PT,37.7667,-25.7,57.45,82,40,14.97,scattered clouds
306,Haines Junction,CA,60.7522,-137.5108,11.82,98,76,2.64,broken clouds
